state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,0
California,1
Colorado,1
Connecticut,1
Delaware,1
Florida,1
Georgia,1
Hawaii,1
Iowa,1
Idaho,0
Illinois,2
Indiana,0
Kansas,0
Kentucky,1
Louisiana,0
Maine,1
Maryland,2
Massachusetts,2
Michigan,0
Minnesota,1
Missouri,0
Mississippi,0
Montana,0
North Carolina,1
North Dakota,0
Nebraska,1
New Hampshire,1
New Jersey,1
New Mexico,0
Nevada,0
New York,1
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,1
South Dakota,0
Tennessee,0
Texas,1
Utah,1
Virginia,1
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,1
